ussr	ngoorgs3	netherlands
israel	intergovorgs	india
usa	independence	ussr
china	militaryalliance	cuba
indonesia	commonbloc1	china
india	commonbloc1	brazil
usa	intergovorgs3	israel
poland	ngo	israel
indonesia	commonbloc1	ussr
india	negativecomm	usa
egypt	intergovorgs	brazil
indonesia	booktranslations	usa
cuba	ngoorgs3	usa
china	intergovorgs3	netherlands
usa	officialvisits	ussr
brazil	ngo	india
usa	weightedunvote	poland
india	ngoorgs3	poland
netherlands	weightedunvote	israel
uk	independence	cuba
burma	relngo	netherlands
egypt	independence	poland
china	commonbloc2	cuba
cuba	reldiplomacy	netherlands
indonesia	dependent	netherlands
netherlands	weightedunvote	burma
indonesia	embassy	india
usa	reltourism	netherlands
israel	emigrants3	usa
egypt	relintergovorgs	israel
ussr	treaties	usa
ussr	negativebehavior	china
ussr	unoffialacts	usa
india	unweightedunvote	poland
brazil	timesinceally	uk
india	ngo	netherlands
china	pprotests	ussr
cuba	reldiplomacy	israel
netherlands	reltourism	uk
ussr	independence	egypt
burma	relexports	ussr
egypt	relngo	poland
usa	treaties	india
indonesia	reldiplomacy	ussr
usa	reltourism	ussr
egypt	intergovorgs	indonesia
indonesia	intergovorgs	egypt
cuba	relintergovorgs	uk
china	booktranslations	usa
china	accusation	indonesia
egypt	intergovorgs3	india
usa	commonbloc0	poland
usa	treaties	cuba
china	negativebehavior	india
uk	negativecomm	ussr
brazil	unweightedunvote	uk
usa	accusation	ussr
usa	blockpositionindex	india
jordan	dependent	uk
poland	intergovorgs3	india
china	intergovorgs3	poland
cuba	relintergovorgs	indonesia
china	nonviolentbehavior	usa
indonesia	intergovorgs3	india
netherlands	weightedunvote	poland
netherlands	independence	ussr
china	independence	jordan
indonesia	intergovorgs	uk
poland	treaties	netherlands
jordan	reldiplomacy	uk
poland	blockpositionindex	netherlands
jordan	relngo	egypt
israel	unweightedunvote	india
indonesia	reldiplomacy	poland
indonesia	relintergovorgs	brazil
uk	weightedunvote	israel
burma	booktranslations	uk
poland	accusation	china
poland	conferences	ussr
netherlands	emigrants3	usa
uk	commonbloc1	jordan
egypt	accusation	usa
uk	tourism	ussr
india	relbooktranslations	uk
burma	relintergovorgs	netherlands
jordan	embassy	uk
israel	reltreaties	usa
brazil	blockpositionindex	china
poland	embassy	burma
burma	reldiplomacy	israel
netherlands	exports3	usa
jordan	relintergovorgs	netherlands
usa	negativecomm	indonesia
indonesia	commonbloc2	jordan
egypt	embassy	netherlands
usa	tourism	jordan
usa	embassy	egypt
jordan	weightedunvote	netherlands
netherlands	ngo	poland
cuba	commonbloc0	uk
jordan	tourism	egypt
poland	blockpositionindex	usa
burma	commonbloc1	china
uk	officialvisits	ussr
netherlands	exportbooks	usa
uk	tourism	jordan
netherlands	tourism3	usa
netherlands	independence	china
ussr	independence	uk
usa	negativecomm	ussr
egypt	independence	jordan
usa	economicaid	india
uk	intergovorgs	brazil
cuba	unweightedunvote	uk
brazil	intergovorgs3	netherlands
usa	ngo	ussr
brazil	intergovorgs	indonesia
indonesia	booktranslations	uk
israel	intergovorgs	uk
ussr	tourism	poland
ussr	intergovorgs3	usa
poland	negativebehavior	usa
poland	reldiplomacy	uk
israel	duration	jordan
jordan	relngo	india
cuba	ngoorgs3	uk
uk	embassy	burma
indonesia	intergovorgs3	brazil
poland	reltreaties	netherlands
usa	ngo	israel
china	commonbloc1	burma
netherlands	commonbloc0	cuba
uk	reltourism	brazil
cuba	exports3	china
brazil	reltreaties	ussr
usa	commonbloc0	ussr
usa	conferences	india
ussr	nonviolentbehavior	usa
burma	conferences	ussr
netherlands	independence	uk
uk	unweightedunvote	india
poland	reldiplomacy	israel
jordan	relintergovorgs	uk
jordan	commonbloc1	china
cuba	commonbloc1	egypt
china	booktranslations	uk
brazil	timesinceally	egypt
usa	ngo	poland
netherlands	exportbooks	uk
burma	intergovorgs3	india
ussr	blockpositionindex	netherlands
brazil	relintergovorgs	netherlands
cuba	intergovorgs	netherlands
cuba	relintergovorgs	brazil
india	relintergovorgs	uk
uk	embassy	egypt
uk	emigrants3	usa
ussr	intergovorgs3	uk
netherlands	relbooktranslations	usa
cuba	negativebehavior	usa
burma	commonbloc2	indonesia
jordan	commonbloc2	india
burma	blockpositionindex	ussr
usa	conferences	uk
egypt	timesinceally	cuba
jordan	commonbloc1	netherlands
usa	treaties	ussr
burma	intergovorgs3	uk
cuba	commonbloc1	israel
usa	intergovorgs3	netherlands
brazil	reltreaties	uk
india	relintergovorgs	netherlands
egypt	independence	china
usa	negativecomm	cuba
china	commonbloc2	poland
china	ngoorgs3	uk
jordan	blockpositionindex	usa
poland	tourism	ussr
israel	booktranslations	uk
israel	exports3	netherlands
ussr	timesinceally	poland
uk	weightedunvote	jordan
egypt	weightedunvote	usa
poland	weightedunvote	israel
ussr	timesincewar	poland
egypt	independence	uk
israel	unweightedunvote	cuba
indonesia	relstudents	egypt
indonesia	ngoorgs3	egypt
uk	treaties	netherlands
india	nonviolentbehavior	usa
brazil	timesinceally	netherlands
brazil	intergovorgs	netherlands
poland	embassy	usa
ussr	commonbloc1	egypt
uk	commonbloc2	brazil
indonesia	relintergovorgs	egypt
indonesia	relintergovorgs	burma
netherlands	unweightedunvote	uk
netherlands	intergovorgs3	usa
